,ARIMA,ARFIMA,ETS,GSVR,MLPrelu,LSTM,RPSOELM,RF,EELM,Nbeats,RVFL,edRVFL,edRVFLFSLRPool,MARIMAedRVFL,AARIMAedRVFL,Ensemble
GSVR,0.10986328125,0.12939453125,0.09228515625,1.0,0.17626953125,0.1513671875,0.04248046875,0.67724609375,0.06396484375,0.06396484375,0.9697265625,0.4697265625,0.26611328125,0.67724609375,0.2333984375,0.0009765625
MLPrelu,0.17626953125,0.20361328125,0.1513671875,0.17626953125,1.0,0.26611328125,0.33935546875,0.17626953125,0.90966796875,0.10986328125,0.26611328125,0.0771484375,0.00927734375,0.0771484375,0.00048828125,0.00048828125
RPSOELM,0.6220703125,0.4697265625,0.5185546875,0.04248046875,0.33935546875,0.67724609375,1.0,0.0048828125,0.1513671875,0.33935546875,0.0009765625,0.00048828125,0.00048828125,0.00048828125,0.00048828125,0.00048828125
LSTM,0.26611328125,0.85009765625,0.12939453125,0.1513671875,0.26611328125,1.0,0.67724609375,0.00244140625,0.33935546875,0.10986328125,0.00927734375,0.00244140625,0.0009765625,0.01220703125,0.0009765625,0.00048828125
RF,0.00048828125,0.0068359375,0.00048828125,0.67724609375,0.17626953125,0.00244140625,0.0048828125,1.0,0.12939453125,0.00048828125,0.791015625,0.20361328125,0.02685546875,0.20361328125,0.00927734375,0.00048828125
ARIMA,1.0,0.26611328125,0.10986328125,0.10986328125,0.17626953125,0.26611328125,0.6220703125,0.00048828125,0.20361328125,0.00048828125,0.00244140625,0.00048828125,0.00048828125,0.00927734375,0.00048828125,0.00048828125
ETS,0.10986328125,0.2333984375,1.0,0.09228515625,0.1513671875,0.12939453125,0.5185546875,0.00048828125,0.12939453125,0.6220703125,0.00146484375,0.00048828125,0.00048828125,0.0068359375,0.00048828125,0.00048828125
ARFIMA,0.26611328125,1.0,0.2333984375,0.12939453125,0.20361328125,0.85009765625,0.4697265625,0.0068359375,0.26611328125,0.2333984375,0.01220703125,0.00341796875,0.00048828125,0.0341796875,0.00048828125,0.00048828125
Nbeats,0.00048828125,0.2333984375,0.6220703125,0.06396484375,0.10986328125,0.10986328125,0.33935546875,0.00048828125,0.12939453125,1.0,0.00048828125,0.00048828125,0.00048828125,0.00341796875,0.00048828125,0.00048828125
EELM,0.20361328125,0.26611328125,0.12939453125,0.06396484375,0.90966796875,0.33935546875,0.1513671875,0.12939453125,1.0,0.12939453125,0.00048828125,0.00048828125,0.00048828125,0.0009765625,0.00048828125,0.00048828125
RVFL,0.00244140625,0.01220703125,0.00146484375,0.9697265625,0.26611328125,0.00927734375,0.0009765625,0.791015625,0.00048828125,0.00048828125,1.0,0.06396484375,0.01611328125,0.67724609375,0.00927734375,0.00048828125
edRVFLFSLRPool,0.00048828125,0.00048828125,0.00048828125,0.26611328125,0.00927734375,0.0009765625,0.00048828125,0.02685546875,0.00048828125,0.00048828125,0.01611328125,0.5693359375,1.0,0.20361328125,0.85009765625,0.00048828125
edRVFL,0.00048828125,0.00341796875,0.00048828125,0.4697265625,0.0771484375,0.00244140625,0.00048828125,0.20361328125,0.00048828125,0.00048828125,0.06396484375,1.0,0.5693359375,0.5693359375,0.1513671875,0.00048828125
AARIMAedRVFL,0.00048828125,0.00048828125,0.00048828125,0.2333984375,0.00048828125,0.0009765625,0.00048828125,0.00927734375,0.00048828125,0.00048828125,0.00927734375,0.1513671875,0.85009765625,0.1513671875,1.0,0.0009765625
MARIMAedRVFL,0.00927734375,0.0341796875,0.0068359375,0.67724609375,0.0771484375,0.01220703125,0.00048828125,0.20361328125,0.0009765625,0.00341796875,0.67724609375,0.5693359375,0.20361328125,1.0,0.1513671875,0.00244140625
Ensemble,0.00048828125,0.00048828125,0.00048828125,0.0009765625,0.00048828125,0.00048828125,0.00048828125,0.00048828125,0.00048828125,0.00048828125,0.00048828125,0.00048828125,0.00048828125,0.00244140625,0.0009765625,1.0
