,0
0,2.837883
1,2.9213066
2,3.1256597
3,3.3995836
4,3.0691397
5,3.0472496
6,2.8890667
7,2.9540815
8,2.9945922
9,2.9968705
10,3.0358946
11,2.9451168
12,3.0676796
13,2.9317217
14,2.9170675
15,2.6111286
16,2.5853302
17,2.6846097
18,2.7735174
19,2.8989916
20,2.7534153
21,2.754925
22,2.9060006
23,2.8873494
24,2.7593513
25,3.028828
26,2.8223524
27,2.7679427
28,2.3975575
29,2.45113
30,2.5461533
31,2.4828317
32,2.448715
33,2.3479497
34,2.3828878
35,2.7176583
36,2.4648771
37,2.5266674
38,2.6085076
39,2.7473319
40,2.897615
41,2.634713
42,2.3363657
43,1.7588519
44,1.6712852
45,1.6957878
46,1.7674611
47,1.8666182
48,1.8890507
49,1.945327
50,1.9854425
51,2.3072014
52,2.0898683
53,2.0816922
54,2.0713744
55,2.3349402
56,2.381559
57,2.411145
58,2.348086
59,2.3723993
60,2.385315
61,2.2368453
62,2.0220735
63,2.0616412
64,2.088405
65,2.1604292
66,2.4336138
67,2.2743843
68,2.1581938
69,2.1232362
70,2.0795858
71,1.8484441
72,2.0371916
73,1.9779918
74,2.0915499
75,2.188346
76,2.4489968
77,2.1573112
78,2.0052555
79,2.0342815
80,2.1474721
81,2.387832
82,2.4081182
83,2.3834665
84,2.4591045
85,2.5976965
86,2.5941253
87,2.7713692
88,2.670711
89,2.4312158
90,2.3396168
91,2.2308877
92,1.969707
93,1.8290741
94,1.7774684
95,1.9046048
96,2.0254562
97,2.0461478
98,2.253997
99,2.4362526
100,2.5513363
101,2.6140501
102,2.6215477
103,2.2691667
104,2.3086102
105,2.1468415
106,2.293794
107,2.3010128
108,2.1480882
109,2.3835769
110,2.7537005
111,2.8787525
112,3.0270865
113,2.8031828
114,2.7340434
115,2.5157118
116,2.3059409
117,2.3300073
118,2.1658328
119,2.0589445
120,2.0356572
121,1.889254
122,2.0156615
123,2.3712914
124,2.6380677
125,2.639399
126,2.3358052
127,2.3943958
128,2.3000963
129,2.1722264
130,1.9887567
131,1.8015587
132,1.8179803
133,1.8930544
134,1.884576
135,1.8826047
136,2.0298145
137,2.0283227
138,1.934602
139,1.7912122
140,1.876848
141,2.1311646
142,2.1235626
143,2.0397115
144,2.2047803
145,2.4055665
146,2.4364688
147,2.4297667
148,2.3547866
149,2.384839
150,2.264471
151,2.2064617
152,2.2181892
153,2.324864
154,2.3883166
155,2.5269415
156,2.6758778
157,3.4538736
158,3.773634
159,4.1117454
160,4.3263435
161,4.6483936
162,4.9362197
163,4.887331
164,5.204323
165,5.2060175
166,5.361825
167,5.088551
168,5.4601645
169,5.5953736
170,5.3470883
171,5.225684
172,5.143986
173,4.931911
174,4.866932
175,4.6536393
176,4.8870482
177,4.783337
178,4.8593764
179,4.6312447
180,4.7556453
181,5.108214
182,4.830794
183,4.5248404
184,4.2037234
185,4.0257926
186,3.763776
187,3.5856435
188,3.504157
189,3.4578192
190,3.5133884
191,3.5784369
192,3.6685534
193,3.8376985
194,3.751914
195,3.5595603
196,3.287448
197,3.2319627
198,3.232951
199,3.061807
200,2.9525235
201,2.97446
202,2.8138983
203,2.8730977
204,2.8610694
205,2.7238116
206,2.7166495
207,2.7228398
208,2.81744
209,2.8638964
210,2.723625
211,2.5370357
212,2.627146
213,2.5604255
214,2.5053327
215,2.3438857
216,2.2107587
217,2.2958171
218,2.2138271
219,2.17834
220,2.1537936
221,2.47185
222,2.4823256
223,2.4930983
224,2.275603
225,2.314843
226,2.0504518
227,2.1673543
228,2.1025424
229,1.9140582
230,1.8561044
231,1.7917535
232,1.810816
233,1.7547731
234,1.7337868
235,1.608803
236,1.5862744
237,1.5875459
238,1.5302914
239,1.4427892
240,1.4231511
241,1.3561718
242,1.366207
243,1.3374513
244,1.2491081
245,1.2171537
246,1.2250772
247,1.1870226
248,1.2155477
249,1.1663009
250,1.2286452
251,1.306666
252,1.2892932
253,1.206076
254,1.1969802
255,1.1964973
256,1.2485284
257,1.1672366
258,1.159422
259,1.1672723
260,1.3222694
261,1.3628947
262,1.4329829
263,1.4381516
264,1.5142246
265,1.6457679
266,1.6554452
267,1.8354739
268,1.8005079
269,1.8436441
270,1.8230729
271,1.8494978
272,1.7380964
273,1.7363653
274,1.7654445
275,1.9688146
276,1.9997045
277,1.9821244
278,2.2129598
279,2.384307
280,3.1031754
281,2.8713145
282,2.6515486
283,2.6418939
284,3.4559505
285,3.410549
286,3.25324
287,3.379947
288,3.3422377
289,3.142183
290,3.3061526
291,3.1281967
292,3.3490345
293,3.1998537
294,3.2031865
295,2.9552236
296,3.1590233
297,3.193679
298,3.1300924
299,3.4767547
300,3.255398
301,3.263905
302,3.128475
303,3.123501
304,2.9788673
305,2.750755
306,2.5937252
307,2.3118718
308,2.214499
309,2.08182
310,2.2822812
311,2.182939
312,2.194252
313,2.0289087
314,2.1047254
315,1.9992684
316,2.0142822
317,1.9693934
318,1.8736078
319,1.870427
320,1.8745397
321,1.7502669
322,1.7594159
323,1.7531959
324,1.6638069
325,1.6567105
326,1.6139402
327,1.5395076
328,1.4294136
329,1.3431458
330,1.2499083
331,1.2215192
332,1.1459401
333,1.1034794
334,1.1241373
335,1.1220238
336,1.0655805
337,1.0193045
338,1.0193481
339,1.0361931
340,1.027685
341,1.0254016
342,0.982474
343,0.94909966
344,1.041809
345,1.0275295
346,1.0037272
347,0.9596923
348,0.945451
349,0.8958431
350,0.8873868
351,0.9247173
352,0.8976331
353,0.9520579
354,0.9083923
355,0.9609668
356,0.99186426
357,0.9566383
358,0.9371973
359,0.9288086
360,0.9831615
361,1.0640748
362,1.0729154
363,1.1152648
364,1.0832927
365,0.9921579
366,1.04406
367,1.0642738
368,1.1065649
369,1.2537408
370,1.3362529
371,1.2748924
372,1.3894343
373,1.3285981
374,1.3084482
375,1.3615261
376,1.3111444
377,1.2868797
378,1.3006833
379,1.3346323
380,1.3101403
381,1.3312995
382,1.2780623
383,1.4527953
384,1.3735383
385,1.3082336
386,1.32431
