,Hidden,L,Order,Bs,WD,LR,Epoch
0,48.0,1.0,24.0,128.0,0.0,0.0001,200.0
1,48.0,4.0,24.0,128.0,0.0,0.0001,200.0
2,48.0,2.0,24.0,128.0,0.0,0.0001,200.0
3,48.0,2.0,24.0,128.0,0.0,0.0001,200.0
4,48.0,4.0,24.0,128.0,0.0,0.0001,200.0
5,36.0,4.0,24.0,128.0,0.0,0.0001,200.0
6,48.0,1.0,24.0,128.0,0.0,0.0001,200.0
7,24.0,2.0,24.0,128.0,0.0,0.0001,200.0
8,48.0,4.0,24.0,128.0,0.0,0.0001,200.0
9,48.0,2.0,24.0,128.0,0.0,0.0001,200.0
10,36.0,4.0,24.0,128.0,0.0,0.0001,200.0
11,48.0,1.0,24.0,128.0,0.0,0.0001,200.0
