,0
0,4.4080987
1,4.4324465
2,4.358856
3,4.2648754
4,4.09866
5,4.2129173
6,4.022735
7,4.1042056
8,4.001051
9,4.0177097
10,3.9546
11,3.9099948
12,3.8018646
13,3.7202828
14,3.5658405
15,3.327108
16,3.2920659
17,3.0868924
18,3.0460565
19,2.9110742
20,2.8364687
21,2.940323
22,2.7918696
23,2.730544
24,2.6270695
25,2.6638243
26,2.4613492
27,2.5678823
28,2.3473678
29,2.3915958
30,2.3044257
31,2.245951
32,2.0851204
33,2.1974242
34,2.2571557
35,2.4051552
36,2.3178139
37,2.273611
38,2.3206387
39,2.5521271
40,2.5791018
41,2.88108
42,3.1556582
43,3.651027
44,3.575147
45,3.5781198
46,3.1320457
47,2.948982
48,2.693412
49,2.7526655
50,3.1583862
51,3.5532432
52,4.0055633
53,4.095258
54,3.8894026
55,3.8209958
56,3.6294358
57,3.5735152
58,3.4936528
59,3.3437347
60,3.3099718
61,3.170997
62,3.0979633
63,2.9474123
64,2.7416358
65,2.7909517
66,2.658254
67,2.7606752
68,2.7379
69,2.8427713
70,2.8467736
71,3.025949
72,3.1086402
73,3.3122907
74,3.1700892
75,2.950509
76,2.7382429
77,2.786527
78,2.6991763
79,2.7708714
80,2.646736
81,2.5085711
82,2.6999092
83,2.625469
84,2.6610804
85,2.5976949
86,2.455057
87,2.2967215
88,2.1706748
89,2.0004194
90,1.937041
91,2.0984135
92,1.9087578
93,1.9328804
94,2.127992
95,2.320523
96,2.4092705
97,2.265349
98,2.1310778
99,2.0554795
100,1.9228674
101,1.9855704
102,2.1547177
103,2.1867545
104,2.2053528
105,2.2197497
106,2.427022
107,2.453326
108,2.3580396
109,2.2602506
110,2.3575497
111,2.3927848
112,2.3520887
113,2.413384
114,2.4415486
115,2.6440916
116,2.6132605
117,2.4275227
118,2.5481594
119,2.7064035
120,2.6479406
121,2.5536664
122,2.4760997
123,2.2807696
124,2.2062025
125,2.3161557
126,2.3892038
127,2.5258965
128,2.4692955
129,2.5809758
130,2.7477338
131,2.9528465
132,3.0598161
133,3.1647506
134,2.9569213
135,2.8302014
136,2.8988154
137,2.8438556
138,2.6686337
139,2.7249782
140,2.6695254
141,2.910123
142,3.0498703
143,3.0988514
144,2.9994411
145,3.0164597
146,2.9350066
147,2.9200559
148,2.871774
149,2.9300864
150,3.0663607
151,3.5449123
152,4.111593
153,4.832793
154,4.91962
155,5.3169637
156,5.2074347
157,5.1141644
158,5.0738907
159,5.17619
160,5.1231523
161,4.9548087
162,5.0126715
163,4.776457
164,5.009415
165,5.411811
166,5.2602897
167,5.284651
168,5.2214904
169,5.139242
170,4.9034295
171,4.831928
172,4.778357
173,4.686985
174,4.7026095
175,4.6824527
176,4.8488793
177,4.7702637
178,4.7134757
179,4.6080475
180,4.5546746
181,4.481252
182,4.1633644
183,4.1432137
184,3.881462
185,3.937727
186,3.9276147
187,3.9565592
188,3.940225
189,3.8583245
190,3.639551
191,3.585382
192,3.2749698
193,3.2920327
194,3.3313844
195,3.2905002
196,3.336092
197,3.1189544
198,3.3989828
199,3.3505878
200,3.3058112
201,3.3456323
202,3.3642457
203,3.400926
204,3.1883113
205,3.1860206
206,2.9874704
207,3.097093
208,3.1129584
209,2.8792276
210,2.6965075
211,2.6368408
212,2.5777283
213,2.6425896
214,2.7821777
215,2.9589841
216,2.9442747
217,2.8561156
218,2.7144136
219,2.4825797
220,2.1764927
221,2.1610246
222,1.8717377
223,1.8683251
224,1.8171594
225,1.7276747
226,1.6905798
227,1.6844295
228,1.4449885
229,1.4843024
230,1.607213
231,1.5905674
232,1.5387399
233,1.7125146
234,1.703756
235,1.7002972
236,1.6484072
237,1.650945
238,1.6451315
239,1.7011241
240,1.5228027
241,1.6299957
242,1.564938
243,1.5873687
244,1.6719716
245,1.5280714
