,0
0,4.4570303
1,4.34617
2,4.383545
3,4.429422
4,4.5241985
5,4.4425244
6,4.17123
7,4.0435038
8,4.2260795
9,3.9568765
10,4.1462607
11,3.963466
12,3.8769908
13,3.864545
14,3.5934997
15,3.5713806
16,3.6184003
17,3.503424
18,3.1341298
19,3.1787093
20,3.0213947
21,3.0993109
22,3.013009
23,2.7453794
24,2.8614268
25,2.747772
26,2.5497725
27,2.535185
28,2.592933
29,2.4192405
30,2.6510231
31,2.4867306
32,2.5647118
33,2.5860696
34,2.6220443
35,2.4224029
36,2.6703238
37,2.6649804
38,2.9228036
39,2.863485
40,2.7246087
41,2.812194
42,2.9624774
43,2.9143836
44,3.2215068
45,3.4778218
46,3.9613366
47,3.6385562
48,3.6175356
49,3.1566277
50,3.0623422
51,2.9215875
52,2.833066
53,3.2393563
54,3.5394292
55,3.8838935
56,3.924014
57,3.583285
58,3.4727423
59,3.2428246
60,3.2683778
61,3.3470752
62,3.3271096
63,3.5052624
64,3.3179805
65,3.3420866
66,3.196835
67,2.785771
68,2.833313
69,2.8188286
70,2.8442943
71,2.7895505
72,2.9132683
73,2.8277998
74,3.0048172
75,2.9570878
76,3.1697357
77,3.0251288
78,2.8419776
79,2.66656
80,2.789622
81,2.6818917
82,2.804178
83,2.731092
84,2.534599
85,2.6927183
86,2.570597
87,2.5173047
88,2.5039277
89,2.4299736
90,2.225893
91,2.2544136
92,2.176094
93,2.2228618
94,2.36309
95,2.2039611
96,2.357349
97,2.5488586
98,2.6008437
99,2.5195796
100,2.2543213
101,2.155966
102,1.9964694
103,1.7140856
104,1.7440361
105,1.9577736
106,2.083504
107,2.091469
108,2.1236668
109,2.5549326
110,2.722075
111,2.753247
112,2.543485
113,2.6263773
114,2.6638649
115,2.5345716
116,2.6350362
117,2.6107903
118,2.9147758
119,2.8341408
120,2.5433927
121,2.618441
122,2.7140114
123,2.6284847
124,2.5660393
125,2.5622458
126,2.397163
127,2.2674236
128,2.3767793
129,2.5326762
130,2.7530673
131,2.6528163
132,2.7976623
133,2.9909294
134,3.1520991
135,3.147978
136,3.1564264
137,2.9291916
138,2.930059
139,3.0793889
140,3.1044636
141,2.8812263
142,2.8089967
143,2.8269815
144,3.1433764
145,3.254031
146,3.2905068
147,3.1231737
148,3.1613042
149,3.1416233
150,3.1053457
151,3.1344101
152,3.1561902
153,3.428612
154,3.8829656
155,4.4198117
156,5.092113
157,5.0753965
158,5.4152803
159,5.29722
160,5.08434
161,5.05381
162,5.0149317
163,4.9832406
164,4.820168
165,4.92457
166,4.680526
167,4.897206
168,5.294577
169,5.101184
170,5.1589146
171,5.100239
172,5.0837917
173,4.840186
174,4.7808595
175,4.806167
176,4.779241
177,4.852166
178,4.8319097
179,4.9862823
180,4.865577
181,4.713521
182,4.5143123
183,4.365629
184,4.310668
185,3.9278924
186,4.015508
187,3.7348976
188,3.8216305
189,3.8610523
190,3.8818526
191,3.8057024
192,3.746691
193,3.4624023
194,3.4369874
195,3.0728872
196,3.1364565
197,3.218065
198,3.2049716
199,3.2959776
200,2.9949203
201,3.3268209
202,3.2343056
203,3.1762862
204,3.250326
205,3.306646
206,3.3492827
207,3.076067
208,3.1580048
209,2.8415112
210,2.953946
211,2.940955
212,2.7641525
213,2.5778801
214,2.548642
215,2.3833654
216,2.4376988
217,2.66245
218,2.8772209
219,2.8533967
220,2.7130144
221,2.5129712
222,2.3413491
223,2.1319337
224,1.9908125
225,1.7437385
226,1.8124046
227,1.806228
228,1.6885401
229,1.6959985
230,1.721061
231,1.4336641
232,1.4578643
233,1.6362945
234,1.7176872
235,1.7176687
236,1.8925116
237,1.861501
238,1.8349985
239,1.7954471
240,1.7548852
241,1.8226832
242,1.8251119
243,1.629848
244,1.7929525
245,1.6374412
246,1.7064762
247,1.8021373
248,1.6747438
249,1.6212863
250,1.7443281
251,1.7976944
252,1.9302038
253,1.9712837
254,2.092557
255,2.0091624
256,2.1000798
257,2.117072
258,2.1262894
259,2.1751695
260,2.217162
261,2.268352
262,2.2430034
263,2.1159613
264,2.0607677
265,2.0582573
266,1.9346299
267,1.970675
268,1.907559
269,1.8574558
270,1.9039661
271,1.9197613
272,2.0301518
273,2.1540046
274,2.2276433
275,2.3126085
276,2.4182255
277,2.91957
278,3.2223663
279,3.362058
280,3.3198369
281,3.438745
282,3.4312162
283,3.3633068
284,3.3563597
285,3.375008
286,3.4709527
287,3.533565
288,3.8004248
289,3.6639273
290,3.5243688
291,3.5251791
292,3.490344
293,3.5256903
294,3.4420855
295,3.321137
296,3.427537
297,3.4396412
298,3.1383307
299,2.976132
300,3.00323
301,2.8969648
302,2.8697321
303,2.9479175
304,2.5904367
305,2.7561555
306,2.5217028
307,2.3267121
308,2.204491
309,2.0359092
310,1.9936814
311,1.8893591
312,2.0283751
313,1.873081
314,1.8084542
315,1.5633872
316,1.4443085
317,1.5899748
318,1.5847187
319,1.6583488
320,1.6432105
321,1.4695349
322,1.4014239
323,1.3590778
324,1.2657683
325,1.232707
326,1.167904
327,1.1454659
328,1.1972122
329,1.1548402
330,1.1741587
331,1.1830689
332,1.2345673
333,1.2391338
334,1.2284418
335,1.3848455
336,1.5292522
337,1.6054552
338,1.5582542
339,1.5022509
340,1.4985687
341,1.4562377
342,1.5423344
343,1.5815997
344,1.5329503
345,1.5929711
346,1.646199
347,1.5467893
348,1.6180716
349,1.5535866
350,1.5133513
351,1.5552441
352,1.5994929
353,1.8333455
354,2.0329707
355,2.2487464
356,2.3583264
357,2.4605918
358,2.4697878
359,2.4740453
360,2.6250567
361,2.769827
362,2.9686928
363,3.0350866
364,2.8777215
365,2.67332
366,2.468849
367,2.3848372
368,2.4366748
369,2.4393659
370,2.239513
371,2.135432
372,2.098829
373,2.148193
374,2.1590843
375,2.102762
376,2.0686345
377,1.6958654
378,1.6532111
379,1.6850731
380,1.5750765
381,1.6827394
382,1.5855609
383,1.5612779
384,1.3465083
385,1.3862092
386,1.4753047
387,1.3990375
388,1.349539
389,1.3417996
390,1.3499988
391,1.5429071
392,1.6497242
393,1.7321191
394,1.7150046
395,1.6701354
396,1.6571205
397,1.4702916
398,1.5193796
399,1.5849799
400,1.7097695
401,1.8174601
402,1.9279557
403,1.818826
404,1.8168371
405,1.8047733
406,1.8220209
407,1.8267666
408,2.1674545
409,2.6996076
410,3.109828
411,3.5918581
412,4.0385957
413,4.2091527
414,4.475515
415,4.7663302
416,4.861682
417,4.8705015
418,5.004465
419,5.29888
420,5.0749736
421,5.2008605
422,5.1173844
423,5.1103377
424,5.420778
425,5.4033384
426,5.487544
427,5.7388954
428,6.033176
429,6.37792
430,6.3602676
431,6.720281
432,7.4578424
433,7.587592
434,7.5540133
435,7.457156
436,7.443768
437,7.243674
438,7.219479
439,6.708033
440,6.265173
441,6.420065
442,6.2555666
443,6.5973554
444,7.1650424
445,7.966992
446,8.714265
447,9.1147375
448,9.3267355
449,8.434923
450,7.9286947
451,7.466466
452,6.998972
453,6.9180164
454,6.6805754
455,6.3468213
456,6.253862
457,5.9410486
458,5.4974284
459,5.5159945
460,5.7906103
461,5.5729423
462,5.542282
463,5.3132343
464,5.080199
465,5.1383004
466,5.3082056
467,4.9461236
468,4.9649086
469,4.79553
470,4.699521
471,4.6376944
472,4.796131
473,4.723388
474,4.8676887
475,4.8659477
476,4.7521753
477,4.709576
478,4.383176
479,4.4193745
480,4.277682
481,4.401301
482,4.2103076
483,3.875007
484,4.013674
485,3.7172565
486,3.889457
487,4.1103964
